iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,2,10,40,160,4,touchpad,0,1782867284407,1782867285441,1034
1,2,10,40,160,8,touchpad,0,1782867285441,1782867286241,800
1,2,10,40,160,2,touchpad,0,1782867286241,1782867287274,1033
1,2,10,40,160,0,touchpad,0,1782867287274,1782867288283,1009
1,2,10,40,160,6,touchpad,0,1782867288283,1782867289209,926
1,2,10,40,160,1,touchpad,0,1782867289209,1782867290148,939
1,2,10,40,160,9,touchpad,0,1782867290148,1782867291147,999
1,2,10,40,160,7,touchpad,0,1782867291147,1782867292097,950
1,2,10,40,160,5,touchpad,0,1782867292097,1782867292983,886
1,2,10,40,160,3,touchpad,0,1782867292983,1782867293762,779
2,2,10,40,160,5,touchpad,0,1782867294591,1782867295429,838
2,2,10,40,160,3,touchpad,0,1782867295429,1782867296233,804
2,2,10,40,160,2,touchpad,0,1782867296233,1782867297033,800
2,2,10,40,160,4,touchpad,0,1782867297033,1782867297895,862
2,2,10,40,160,0,touchpad,0,1782867297895,1782867298893,998
2,2,10,40,160,6,touchpad,0,1782867298893,1782867299909,1016
2,2,10,40,160,9,touchpad,0,1782867299909,1782867300994,1085
2,2,10,40,160,7,touchpad,0,1782867300994,1782867302179,1185
2,2,10,40,160,8,touchpad,0,1782867302179,1782867303045,866
2,2,10,40,160,1,touchpad,0,1782867303045,1782867304161,1116
3,2,10,40,160,1,touchpad,0,1782867304925,1782867305891,966
3,2,10,40,160,6,touchpad,0,1782867305891,1782867307132,1241
3,2,10,40,160,9,touchpad,0,1782867307132,1782867308191,1059
3,2,10,40,160,0,touchpad,0,1782867308191,1782867309224,1033
3,2,10,40,160,7,touchpad,0,1782867309224,1782867310458,1234
3,2,10,40,160,3,touchpad,0,1782867310458,1782867311592,1134
3,2,10,40,160,2,touchpad,0,1782867311592,1782867312458,866
3,2,10,40,160,4,touchpad,0,1782867312458,1782867313543,1085
3,2,10,40,160,8,touchpad,0,1782867313543,1782867314576,1033
3,2,10,40,160,5,touchpad,0,1782867314576,1782867315577,1001
