iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,1,10,60,240,7,mouse_latency,150,1782859518830,1782859520681,1851
1,1,10,60,240,1,mouse_latency,150,1782859520681,1782859524245,3564
1,1,10,60,240,4,mouse_latency,150,1782859524245,1782859525913,1668
1,1,10,60,240,0,mouse_latency,150,1782859525913,1782859529496,3583
1,1,10,60,240,3,mouse_latency,150,1782859529496,1782859531127,1631
1,1,10,60,240,2,mouse_latency,150,1782859531127,1782859532372,1245
1,1,10,60,240,9,mouse_latency,150,1782859532372,1782859534007,1635
1,1,10,60,240,6,mouse_latency,150,1782859534007,1782859535762,1755
1,1,10,60,240,8,mouse_latency,150,1782859535762,1782859536993,1231
1,1,10,60,240,5,mouse_latency,150,1782859536993,1782859539197,2204
2,1,10,60,240,7,mouse_latency,150,1782859542098,1782859543568,1470
2,1,10,60,240,6,mouse_latency,150,1782859543568,1782859544718,1150
2,1,10,60,240,9,mouse_latency,150,1782859544718,1782859546068,1350
2,1,10,60,240,5,mouse_latency,150,1782859546068,1782859547314,1246
2,1,10,60,240,1,mouse_latency,150,1782859547314,1782859548632,1318
2,1,10,60,240,4,mouse_latency,150,1782859548632,1782859550882,2250
2,1,10,60,240,3,mouse_latency,150,1782859550882,1782859552212,1330
2,1,10,60,240,8,mouse_latency,150,1782859552212,1782859554497,2285
2,1,10,60,240,0,mouse_latency,150,1782859554497,1782859556228,1731
2,1,10,60,240,2,mouse_latency,150,1782859556228,1782859557547,1319
3,1,10,60,240,2,mouse_latency,150,1782859559471,1782859560982,1511
3,1,10,60,240,9,mouse_latency,150,1782859560982,1782859562699,1717
3,1,10,60,240,8,mouse_latency,150,1782859562699,1782859565363,2664
3,1,10,60,240,1,mouse_latency,150,1782859565363,1782859566710,1347
3,1,10,60,240,7,mouse_latency,150,1782859566710,1782859568861,2151
3,1,10,60,240,4,mouse_latency,150,1782859568861,1782859570557,1696
3,1,10,60,240,0,mouse_latency,150,1782859570557,1782859572597,2040
3,1,10,60,240,6,mouse_latency,150,1782859572597,1782859574017,1420
3,1,10,60,240,3,mouse_latency,150,1782859574017,1782859576159,2142
3,1,10,60,240,5,mouse_latency,150,1782859576159,1782859577591,1432
