iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,1,10,90,320,0,air_mouse,0,1782863400593,1782863406591,5998
1,1,10,90,320,3,air_mouse,0,1782863406591,1782863411341,4750
1,1,10,90,320,4,air_mouse,0,1782863411341,1782863415073,3732
1,1,10,90,320,9,air_mouse,0,1782863415073,1782863418379,3306
1,1,10,90,320,1,air_mouse,0,1782863418379,1782863422078,3699
1,1,10,90,320,8,air_mouse,0,1782863422078,1782863426464,4386
1,1,10,90,320,7,air_mouse,0,1782863426464,1782863427843,1379
1,1,10,90,320,5,air_mouse,0,1782863427843,1782863430314,2471
1,1,10,90,320,6,air_mouse,0,1782863430314,1782863433705,3391
1,1,10,90,320,2,air_mouse,0,1782863433705,1782863436046,2341
2,1,10,90,320,3,air_mouse,0,1782863437555,1782863440239,2684
2,1,10,90,320,5,air_mouse,0,1782863440239,1782863441971,1732
2,1,10,90,320,7,air_mouse,0,1782863441971,1782863445345,3374
2,1,10,90,320,4,air_mouse,0,1782863445345,1782863448142,2797
2,1,10,90,320,2,air_mouse,0,1782863448142,1782863452304,4162
2,1,10,90,320,1,air_mouse,0,1782863452304,1782863453388,1084
2,1,10,90,320,8,air_mouse,0,1782863453388,1782863455878,2490
2,1,10,90,320,6,air_mouse,0,1782863455878,1782863457524,1646
2,1,10,90,320,9,air_mouse,0,1782863457524,1782863459529,2005
2,1,10,90,320,0,air_mouse,0,1782863459529,1782863461590,2061
3,1,10,90,320,7,air_mouse,0,1782863464838,1782863467377,2539
3,1,10,90,320,0,air_mouse,0,1782863467377,1782863473498,6121
3,1,10,90,320,2,air_mouse,0,1782863473498,1782863482462,8964
3,1,10,90,320,9,air_mouse,0,1782863482462,1782863485738,3276
3,1,10,90,320,6,air_mouse,0,1782863485738,1782863490963,5225
3,1,10,90,320,5,air_mouse,0,1782863490963,1782863492377,1414
3,1,10,90,320,4,air_mouse,0,1782863492377,1782863494890,2513
3,1,10,90,320,3,air_mouse,0,1782863494890,1782863497223,2333
3,1,10,90,320,8,air_mouse,0,1782863497223,1782863500079,2856
3,1,10,90,320,1,air_mouse,0,1782863500079,1782863502759,2680
