iteration,pid,num_targets,target_w,target_d,target_id,condition,latency_ms,t_start_ms,t_end_ms,duration_ms
1,3,10,90,320,2,mouse,0,1782854472321,1782854472915,594
1,3,10,90,320,6,mouse,0,1782854472915,1782854473697,782
1,3,10,90,320,0,mouse,0,1782854473697,1782854474456,759
1,3,10,90,320,8,mouse,0,1782854474456,1782854475102,646
1,3,10,90,320,4,mouse,0,1782854475102,1782854475699,597
1,3,10,90,320,7,mouse,0,1782854475699,1782854476404,705
1,3,10,90,320,5,mouse,0,1782854476404,1782854477023,619
1,3,10,90,320,9,mouse,0,1782854477023,1782854477746,723
1,3,10,90,320,3,mouse,0,1782854477746,1782854478427,681
1,3,10,90,320,1,mouse,0,1782854478427,1782854479061,634
2,3,10,90,320,2,mouse,0,1782854479790,1782854480425,635
2,3,10,90,320,6,mouse,0,1782854480425,1782854481330,905
2,3,10,90,320,5,mouse,0,1782854481330,1782854481906,576
2,3,10,90,320,7,mouse,0,1782854481906,1782854482647,741
2,3,10,90,320,1,mouse,0,1782854482647,1782854483330,683
2,3,10,90,320,4,mouse,0,1782854483330,1782854484024,694
2,3,10,90,320,0,mouse,0,1782854484024,1782854484639,615
2,3,10,90,320,8,mouse,0,1782854484639,1782854485349,710
2,3,10,90,320,3,mouse,0,1782854485349,1782854485984,635
2,3,10,90,320,9,mouse,0,1782854485984,1782854486612,628
3,3,10,90,320,3,mouse,0,1782854487540,1782854488524,984
3,3,10,90,320,5,mouse,0,1782854488524,1782854489276,752
3,3,10,90,320,0,mouse,0,1782854489276,1782854489944,668
3,3,10,90,320,9,mouse,0,1782854489944,1782854490672,728
3,3,10,90,320,6,mouse,0,1782854490672,1782854491402,730
3,3,10,90,320,1,mouse,0,1782854491402,1782854492155,753
3,3,10,90,320,2,mouse,0,1782854492155,1782854492933,778
3,3,10,90,320,8,mouse,0,1782854492933,1782854493751,818
3,3,10,90,320,4,mouse,0,1782854493751,1782854494421,670
3,3,10,90,320,7,mouse,0,1782854494421,1782854495208,787
